Title,Description,Published At,URL,text,Manual Bias
"20% export duty on onion scrapped, farmers’ organisation asks for long-term policy","Kisan Sabha has urged the government to avoid irregular export bans and export restrictions, and to instead take steps to formulate a long-term export policy",2025-03-23T16:06:44+00:00,https://www.thehindu.com/business/Industry/20-export-duty-on-onion-scrapped-farmers-organisation-asks-for-long-term-policy/article69365833.ece,"20% export duty on onion scrapped, farmers’ organisation asks for long-term policy. Kisan Sabha has urged the government to avoid irregular export bans and export restrictions, and to instead take steps to formulate a long-term export policy",Left-wing
ASHAs to hold mass hunger strike on March 24,"ASHAs in Kerala are protesting for better pay and benefits, leading to mass hunger strike and political tensions",2025-03-23T16:06:28+00:00,https://www.thehindu.com/news/national/kerala/ashas-to-hold-mass-hunger-strike-on-march-24/article69365978.ece,"ASHAs to hold mass hunger strike on March 24. ASHAs in Kerala are protesting for better pay and benefits, leading to mass hunger strike and political tensions",Right-wing
No calls were made to over Aaditya’s ‘role’ in Disha Salian case: Sanjay Raut,Shiv Sena (UBT) leader accuses BJP of playing politics with the dead after Narayan Rane claimed Uddhav had reached out to with him with a request to conceal his son’s involvement,2025-03-23T15:53:13+00:00,https://www.thehindu.com/news/national/maharashtra/no-calls-were-made-to-over-aadityas-role-in-disha-salian-case-sanjay-raut/article69364876.ece,No calls were made to over Aaditya’s ‘role’ in Disha Salian case: Sanjay Raut. Shiv Sena (UBT) leader accuses BJP of playing politics with the dead after Narayan Rane claimed Uddhav had reached out to with him with a request to conceal his son’s involvement,Right-wing
"If Bihar has to change, then government has to be changed, says Congress leader Pawan Khera",He lashes out at the Nitish Kumar-led National Democratic Alliance government of Bihar over the issues of development and law and order,2025-03-23T15:17:30+00:00,https://www.thehindu.com/news/national/bihar/if-bihar-has-to-change-then-government-has-to-be-changed-says-congress-leader-pawan-khera/article69365706.ece,"If Bihar has to change, then government has to be changed, says Congress leader Pawan Khera. He lashes out at the Nitish Kumar-led National Democratic Alliance government of Bihar over the issues of development and law and order",Left-wing
CPI(M) urges Andhra Pradesh government to repeal property tax hike,"Party’s State secretary V. Srinivasa Rao writes to Chief Minister N. Chandrababu Naidu to take necessary steps to repeal the Municipal Amendment Act 44/2020, which enables the tax calculation of a property based on its capital value instead of the rental value",2025-03-23T14:35:06+00:00,https://www.thehindu.com/news/national/andhra-pradesh/cpim-urges-andhra-pradesh-government-to-repeal-property-tax-hike/article69365291.ece,"CPI(M) urges Andhra Pradesh government to repeal property tax hike. Party’s State secretary V. Srinivasa Rao writes to Chief Minister N. Chandrababu Naidu to take necessary steps to repeal the Municipal Amendment Act 44/2020, which enables the tax calculation of a property based on its capital value instead of the rental value",Neutral
‘Millet Man of India’ asks farmers to avoid usage of fertilisers,"Khadar Vali takes a dig at the policy of giving subsidies for fertilisers, and the distribution of rice through the public distribution system on the second day of the three-day Millets Mela—2025 in Anantapur",2025-03-23T14:34:43+00:00,https://www.thehindu.com/news/national/andhra-pradesh/millet-man-of-india-asks-farmers-to-avoid-usage-of-fertilisers/article69365188.ece,"‘Millet Man of India’ asks farmers to avoid usage of fertilisers. Khadar Vali takes a dig at the policy of giving subsidies for fertilisers, and the distribution of rice through the public distribution system on the second day of the three-day Millets Mela—2025 in Anantapur",Neutral
Government integrates urban and rural SHGs ,"The integration of urban SHGs with rural SHGs aims to bridge this gap by leveraging urban markets as distribution channels for rural SHG products; collaboration is expected to create new economic opportunities, boost rural industries and strengthen financial inclusion",2025-03-23T14:32:41+00:00,https://www.thehindu.com/news/national/telangana/government-integrates-urban-and-rural-shgs/article69365498.ece,"Government integrates urban and rural SHGs . The integration of urban SHGs with rural SHGs aims to bridge this gap by leveraging urban markets as distribution channels for rural SHG products; collaboration is expected to create new economic opportunities, boost rural industries and strengthen financial inclusion",Neutral
Bangladesh Army rejects student-led NCP leader’s allegation of political interference,"Bangladesh Army denies political interference, calls allegations “hilarious” and “immature”, amid tensions with student-led party",2025-03-23T14:13:03+00:00,https://www.thehindu.com/news/international/bangladesh-army-rejects-student-led-ncp-leaders-allegation-of-political-interference/article69365194.ece,"Bangladesh Army rejects student-led NCP leader’s allegation of political interference. Bangladesh Army denies political interference, calls allegations “hilarious” and “immature”, amid tensions with student-led party",Right-wing
HC upholds Kerala govt. decision to increase seats in local bodies,Court dismisses writ petitions challenging amendments to the Kerala Panchayat Raj Act and the Kerala Municipality Act saying that it cannot interfere in matters of government policy,2025-03-23T13:41:38+00:00,https://www.thehindu.com/news/cities/Kochi/hc-upholds-kerala-govt-decision-to-increase-seats-in-local-bodies/article69365061.ece,HC upholds Kerala govt. decision to increase seats in local bodies. Court dismisses writ petitions challenging amendments to the Kerala Panchayat Raj Act and the Kerala Municipality Act saying that it cannot interfere in matters of government policy,Left-wing
Kishan Reddy sees ‘political conspiracy’ behind ‘mudslinging’ against Centre in Chennai meeting,"Union Minister emphasised that any future delimitation would be carried out in consultation with the States, under the same law introduced by the erstwhile Congress government.",2025-03-23T13:33:58+00:00,https://www.thehindu.com/news/national/telangana/kishan-reddy-sees-political-conspiracy-behind-mudslinging-against-centre-in-chennai-meeting/article69364632.ece,"Kishan Reddy sees ‘political conspiracy’ behind ‘mudslinging’ against Centre in Chennai meeting. Union Minister emphasised that any future delimitation would be carried out in consultation with the States, under the same law introduced by the erstwhile Congress government.",Left-wing
